Comment,Designator,Footprint,LCSC
ChocHS,RCH16,SW_choc_v1_HS_MBK,
ChocHS,RCH6,SW_choc_v1_HS_MBK,
ChocHS,RCH10,SW_choc_v1_HS_MBK,
ChocHS,RCH14,SW_choc_v1_HS_MBK,
ChocHS,RCH2,SW_choc_v1_HS_MBK,
ChocHS,RCH9,SW_choc_v1_HS_MBK,
ChocHS,RCH12,SW_choc_v1_HS_MBK,
ChocHS,RCH7,SW_choc_v1_HS_MBK,
ChocHS,RCH13,SW_choc_v1_HS_MBK,
ChocHS,RCH5,SW_choc_v1_HS_MBK,
ChocHS,RCH8,SW_choc_v1_HS_MBK,
ChocHS,RCH11,SW_choc_v1_HS_MBK,
ChocHS,RCH4,SW_choc_v1_HS_MBK,
ChocHS,RCH15,SW_choc_v1_HS_MBK,
ChocHS,RCH17,SW_choc_v1_HS_MBK,
ChocHS,RCH3,SW_choc_v1_HS_MBK,
ChocHS,RCH1,SW_choc_v1_HS_MBK,
D,RD1,D_SOD-123,
D,RD17,D_SOD-123,
D,RD13,D_SOD-123,
D,RD5,D_SOD-123,
D,RD8,D_SOD-123,
D,RD2,D_SOD-123,
D,RD9,D_SOD-123,
D,RD12,D_SOD-123,
D,RD6,D_SOD-123,
D,RD7,D_SOD-123,
D,RD15,D_SOD-123,
Conn_01x02_Pin,J2,JST_ACH_BM02B-ACHSS-GAN-ETF_1x02-1MP_P1.20mm_Vertical,
D,RD16,D_SOD-123,
D,RD11,D_SOD-123,
D,RD3,D_SOD-123,
D,RD10,D_SOD-123,
D,RD14,D_SOD-123,
D,RD4,D_SOD-123,
D,LD12,D_SOD-123,
D,LD17,D_SOD-123,
ChocHS,LCH9,SW_choc_v1_HS_MBK,
D,LD9,D_SOD-123,
D,LD15,D_SOD-123,
D,LD4,D_SOD-123,
Conn_01x02_Pin,J1,JST_ACH_BM02B-ACHSS-GAN-ETF_1x02-1MP_P1.20mm_Vertical,
ChocHS,LCH2,SW_choc_v1_HS_MBK,
ChocHS,LCH7,SW_choc_v1_HS_MBK,
ChocHS,LCH4,SW_choc_v1_HS_MBK,
ChocHS,LCH11,SW_choc_v1_HS_MBK,
ChocHS,LCH13,SW_choc_v1_HS_MBK,
ChocHS,LCH3,SW_choc_v1_HS_MBK,
ChocHS,LCH8,SW_choc_v1_HS_MBK,
D,LD13,D_SOD-123,
ChocHS,LCH15,SW_choc_v1_HS_MBK,
ChocHS,LCH1,SW_choc_v1_HS_MBK,
D,LD7,D_SOD-123,
ChocHS,LCH6,SW_choc_v1_HS_MBK,
ChocHS,LCH12,SW_choc_v1_HS_MBK,
D,LD5,D_SOD-123,
ChocHS,LCH10,SW_choc_v1_HS_MBK,
ChocHS,LCH14,SW_choc_v1_HS_MBK,
D,LD1,D_SOD-123,
D,LD2,D_SOD-123,
D,LD11,D_SOD-123,
D,LD14,D_SOD-123,
D,LD16,D_SOD-123,
ChocHS,LCH17,SW_choc_v1_HS_MBK,
D,LD8,D_SOD-123,
D,LD3,D_SOD-123,
ChocHS,LCH5,SW_choc_v1_HS_MBK,
D,LD6,D_SOD-123,
ChocHS,LCH16,SW_choc_v1_HS_MBK,
D,LD10,D_SOD-123,
